Task_Number,Task_Name,Duration,Milestone,Predecessors,Stage,Resource_Names
1,"Project authorisation",0 days,No,"",Stage A (working days),"PropFlo Sponsor"
2,"Kick-off & roles confirmation",2 days,No,"1",Stage A (working days),"Interon Project Lead"
3,"Stakeholder & sponsor confirmation",1 days,No,"2",Stage A (working days),"Interon Project Lead"
4,"Commercial scope decision (marketing vs build)",3 days,No,"2",Stage A (working days),"PropFlo Sponsor"
5,"Access & assets collection",10 days,No,"2",Stage A (working days),"PropFlo + Interon"
6,"Competitor research",3 days,No,"2",Stage A (working days),"Interon Strategy"
7,"Discovery & compliance information collection",6 days,No,"2,3",Stage A (working days),"Interon Strategy + PropFlo Compliance"
8,"Google financial-services verification",10 days,No,"5",Stage A (working days),"Interon Paid Media"
9,"Compliance questions completed",3 days,No,"7",Stage A (working days),"PropFlo Compliance"
10,"Audience confirmation",2 days,No,"7",Stage A (working days),"Interon Strategy"
11,"CRM & lead-process preparation",6 days,No,"7",Stage A (working days),"PropFlo Sales + Interon"
12,"Approved claims list",6 days,No,"9",Stage A (working days),"PropFlo Compliance"
13,"Restricted claims list",2 days,No,"9",Stage A (working days),"PropFlo Compliance"
14,"Privacy & consent wording confirmed",3 days,No,"9",Stage A (working days),"PropFlo Compliance"
15,"Offer confirmation",2 days,No,"10",Stage A (working days),"Interon Strategy"
16,"Measurement baseline",2 days,No,"10",Stage A (working days),"Interon Paid Media"
17,"Required disclaimers",3 days,No,"12",Stage A (working days),"PropFlo Compliance"
18,"Keyword research",3 days,No,"15",Stage A (working days),"Interon Paid Media"
19,"Compliance & claims approved",0 days,Yes,"12,13,14,17",Stage A (working days),"PropFlo Compliance"
20,"Negative keyword research",2 days,No,"18",Stage A (working days),"Interon Paid Media"
21,"Email & WhatsApp workflow preparation",3 days,No,"11,19",Stage A (working days),"Interon Content"
22,"SEO foundation content",8 days,No,"19",Stage A (working days),"Interon Content/SEO"
23,"Partner marketing materials & LinkedIn setup",6 days,No,"19",Stage A (working days),"Interon Strategy"
24,"Strategy approved",0 days,Yes,"6,15,16,20",Stage A (working days),"PropFlo Sponsor"
25,"Lead-handling readiness sign-off",2 days,No,"11,21",Stage A (working days),"PropFlo Sales"
26,"Landing page planning & sitemap sign-off",3 days,No,"24",Stage A (working days),"Interon Strategy"
27,"Tracking architecture & plan",2 days,No,"24",Stage A (working days),"Interon Paid Media"
28,"Campaign structure (Google + Meta setup)",2 days,No,"20,24",Stage A (working days),"Interon Paid Media"
29,"Lead handling ready",0 days,Yes,"25",Stage A (working days),"PropFlo Sales"
30,"Landing page copy & creative",6 days,No,"4,19,26",Stage A (working days),"Interon Content"
31,"GA4 & GTM setup",3 days,No,"5,27",Stage A (working days),"Interon Dev/Tech"
32,"Ad copy draft",3 days,No,"19,28",Stage A (working days),"Interon Content"
33,"Landing page build (interim/platform)",11 days,No,"30",Stage A (working days),"WS4 owner (decision)"
34,"Form preparation",3 days,No,"30",Stage A (working days),"Interon Dev/Tech"
35,"Conversion configuration",2 days,No,"31",Stage A (working days),"Interon Paid Media"
36,"Ad copy approval",4 days,No,"32",Stage A (working days),"PropFlo Compliance"
37,"Landing page QA & approval",2 days,No,"33,34",Stage A (working days),"Interon + PropFlo"
38,"Lead-source capture & UTM",2 days,No,"35",Stage A (working days),"Interon Paid Media"
39,"Landing pages approved",0 days,Yes,"37",Stage A (working days),"PropFlo Sponsor"
40,"Tracking end-to-end test",2 days,No,"38,39",Stage A (working days),"Interon Dev/Tech"
41,"Tracking approved",0 days,Yes,"40",Stage A (working days),"Interon Project Lead"
42,"Campaign build",3 days,No,"36,41",Stage A (working days),"Interon Paid Media"
43,"Campaigns approved",0 days,Yes,"8,42",Stage A (working days),"PropFlo Sponsor"
44,"Pre-launch testing (form/tracking/technical)",3 days,No,"29,39,41,43",Stage A (working days),"Interon + PropFlo"
45,"Launch checklist sign-off",1 days,No,"44",Stage A (working days),"Interon + PropFlo"
46,"Controlled Launch",0 days,Yes,"22,23,45",Stage A (working days),"Interon Paid Media"
47,"Live running & initial technical monitoring (wk1)",7 days,No,"46",Stage B (live days),"Interon Paid Media"
48,"Search-term & negative optimisation (continuous)",90 days,No,"46",Stage B (live days),"Interon Paid Media"
49,"Landing page & ad-copy optimisation",90 days,No,"46",Stage B (live days),"Interon Paid Media"
50,"SEO content execution",90 days,No,"46",Stage B (live days),"Interon Content/SEO"
51,"Partner outreach & LinkedIn B2B",90 days,No,"46",Stage B (live days),"Interon Strategy"
52,"Email & WhatsApp nurture",90 days,No,"46",Stage B (live days),"PropFlo Sales + Interon"
53,"Day 7 technical & search-term review",0 days,Yes,"47",Stage B (live days),"Interon Paid Media"
54,"Live running to Day 14",7 days,No,"53",Stage B (live days),"Interon Paid Media"
55,"Day 14 lead-quality review",0 days,Yes,"54",Stage B (live days),"Interon + PropFlo Sales"
56,"Live running to Day 30",16 days,No,"55",Stage B (live days),"Interon Paid Media"
57,"Day 30 performance review",0 days,Yes,"56",Stage B (live days),"Interon + PropFlo"
58,"Live running to Day 45",15 days,No,"57",Stage B (live days),"Interon Paid Media"
59,"Meta retargeting activation (traffic-gated)",60 days,No,"57",Stage B (live days),"Interon Paid Media"
60,"Day 45 optimisation checkpoint",0 days,Yes,"58",Stage B (live days),"Interon Paid Media"
61,"Live running to Day 60",15 days,No,"60",Stage B (live days),"Interon Paid Media"
62,"Day 60 performance & channel review",0 days,Yes,"61",Stage B (live days),"Interon + PropFlo"
63,"Live running to Day 75",15 days,No,"62",Stage B (live days),"Interon Paid Media"
64,"Day 75 scale-readiness checkpoint",0 days,Yes,"63",Stage B (live days),"Interon + PropFlo"
65,"Live running to Day 90",15 days,No,"64",Stage B (live days),"Interon Paid Media"
66,"Day 90 formal scale decision",0 days,Yes,"65",Stage B (live days),"Interon + PropFlo Sponsor"
